Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180201,AG,DEPARTMENT FOR THE AGING,AG 0001,"IMPROVEMENTS TO PROPERTY USED BY DEPARTMENT FOR THE AGING, CITYWIDE",C,2019,3306783,3479000,2178000,1253000
20180201,AG,DEPARTMENT FOR THE AGING,AG 0002,"PURCHASE OF AUTOS, COMPUTERS, OTHER EQUIP FOR THE AGING, CITYWIDE",C,2019,0,2342111,1403000,0
20180201,AG,DEPARTMENT FOR THE AGING,AG MN235,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",C,2019,50000,0,0,0
20180201,BR,WATERWAY BRIDGES,BR 0231,"QUEENSBORO BRIDGE, REHABILITATION",C,2019,141151222,0,0,0
20180201,BR,WATERWAY BRIDGES,BR 0253,RECONSTRUCTION OF WILLIAMSBURG BRIDGE,C,2019,0,0,273760919,0
20180201,BR,WATERWAY BRIDGES,BR 0270,REHABILITATION OF BROOKLYN BRIDGE,C,2019,289984124,0,0,15000000
20180201,BR,WATERWAY BRIDGES,BR 0287,RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER,C,2019,0,93499,0,0
20180201,C,CORRECTION,C  0075,"CORRECTION FACILITIES, CONSTRUCTION, RECONS & IMPROVEMENTS, CITYWIDE",C,2019,134751470,23330000,41300000,49384000
20180201,C,CORRECTION,C  0101,"SECURITY SYSTEMS, VARIOUS FACILITIES",C,2019,0,0,1649995,0
20180201,C,CORRECTION,C  0112,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF CORRECTION,C,2019,4160367,4277000,3761000,3599000
20180201,C,CORRECTION,C  0114,"ACQUISITION, CONSTR., ETC. SUPPLEMENTARY HOUS. PROG. AND SUPPORT FACIL",C,2019,82877375,0,0,0
20180201,C,CORRECTION,C  0117,"PURCHASE OF COMPUTER EQUIPMENT, ALL FACILITIES",C,2019,343871,0,4000000,3300000
20180201,C,CORRECTION,C  0136,CORRECTION INDUSTRIES FACILITIES AND SUPPORT,C,2019,449000,0,0,0
20180201,CO,COURTS,CO 0080,27 MADISON AVE. - MANHATTAN APPELLATE DIVISION COURTHOUSE - 1ST DEPT.,C,2019,488500,0,0,0
20180201,CO,COURTS,CO 0081,31 CHAMBERS ST. - MANHATTAN SURROGATE'S COURT,C,2019,16689624,0,0,0
20180201,CO,COURTS,CO 0264,"ACQUISITION, ADDS, CONSTRUCT, RECONSTRUCT, COURT FACILITIES, CITYWIDE",C,2019,27632498,202474000,163690000,160689000
20180201,CO,COURTS,CO 0276,100 RICHMOND TERR. - STATEN ISLAND FAMILY COURT,C,2019,0,2462780,0,0
20180201,CO,COURTS,CO 0278,360 ADAMS ST. - BROOKLYN  SUPREME COURT,C,2019,0,12748386,3000000,0
20180201,CO,COURTS,CO 0290,NEW BRONX CRIMINAL COURT - PHASE 1,C,2019,50123,140000,705000,0
20180201,CO,COURTS,CO 0293,851 GRAND CONCOURSE - BRONX SUPREME COURT BUILDING,C,2019,42289889,11955000,12000000,0
20180201,CO,COURTS,CO 0294,215 EAST 161ST ST. - BRONX  CRIMINAL/FAMILY COURT BUILDING,C,2019,0,0,3183038,0
20180201,CO,COURTS,CO 0295,1118 GRAND CONCOURSE - BRONX HOUSING COURT,C,2019,0,6699000,362000,0
20180201,CO,COURTS,CO 0296,125-01 QUEENS BLVD. - QUEENS CRIMINAL COURTS BUILDING,C,2019,0,14581000,0,0
20180201,CO,COURTS,CO 0299,89-17 SUTPHIN BLVD. - QUEENS COURT FACILITY,C,2019,6810778,2034000,0,0
20180201,CO,COURTS,CO 0300,88-11 SUTPHIN BLVD. - QUEENS SUPREME COURT BUILDING,C,2019,9308894,0,0,0
20180201,CO,COURTS,CO 0301,130 STUYVESANT PL. - STATEN ISLAND JUDICIAL CENTER,C,2019,611418,17436000,2843000,0
20180201,CO,COURTS,CO 0302,18 RICHMOND TERR. - STATEN ISLAND COURT,C,2019,2420997,0,0,0
20180201,CO,COURTS,CO 0304,60 CENTRE ST. - MANHATTAN SUPREME COURT BUILDING,C,2019,0,9950738,42827000,0
20180201,CO,COURTS,CO 0305,"315 WEST 54TH STREET, MANHATTAN MIDTOWN COMMUNITY COURT",C,2019,249316,0,0,0
20180201,CO,COURTS,CO 0306,"170 EAST 121TH STREET, HARLEM COMMUNITY COURT",C,2019,0,798000,0,0
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0002,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",C,2019,5936675,1267000,1267000,1267000
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",C,2019,5749693,0,0,2777000
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",F,2019,2567429,0,0,0
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",S,2019,6819673,0,0,0
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0004,"EQUIPMENT FOR  ACS, CITYWIDE",C,2019,0,0,10633734,3500000
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0005,"ACQUISITION AND CONSTRUCTION FOR YOUTH AND FAMILY JUSTICE, CITYWIDE",C,2019,0,1174969,2336000,0
20180201,DP,DOITT DP EQUIPMENT,DP 0001,PURCHASE OF EDP EQUIPMENT FOR DoITT & DESIGN/INSTALL/IMPLEMENT CITYNET,C,2019,11912718,67923000,63502000,53183000
20180201,E,EDUCATION,E  2361,FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,C,2019,372,0,0,0
20180201,E,EDUCATION,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,C,2019,3338029787,1970569000,1296489000,2165569000
20180201,E,EDUCATION,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,S,2019,198141000,0,744080000,0
20180201,E,EDUCATION,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",C,2019,0,0,0,0
20180201,E,EDUCATION,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",F,2019,613,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",C,2019,54993142,300112000,239549000,15264000
20180201,ED,ECONOMIC DEVELOPMENT,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",F,2019,6793151,94273000,10000000,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",S,2019,431825,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0319,BROOKLYN NAVY YARD,C,2019,0,1924808,35546000,15000000
20180201,ED,ECONOMIC DEVELOPMENT,ED 0373,BROOKLYN ARMY TERMINAL,C,2019,38005121,47010000,22000000,1809000
20180201,ED,ECONOMIC DEVELOPMENT,ED 0380,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",C,2019,8782868,6010000,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0384,"NEIGHBORHOOD REDEVELOPMENT, CITYWIDE",C,2019,65467205,265563000,164074000,50324000
20180201,ED,ECONOMIC DEVELOPMENT,ED 0387,"SOUTH ST, SEAPORT, SITE IMPROVEMENTS, MANHATTAN",C,2019,0,7,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0404,"ECONOMIC DEVELOPMENT FOR INDUSTRIAL, WATERFRONT AND COMMERCIAL PURPOSE",C,2019,15500367,35560000,10000000,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0408,"MODERNIZATION, RECONSTRUCTION, MARKETS",C,2019,540027,1155000,0,30000000
20180201,ED,ECONOMIC DEVELOPMENT,ED 0409,"MODERNIZATION, RECONSTRUCTION, PIERS, CITYWIDE",C,2019,0,45456434,23636000,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0410,INTERNATIONAL BUSINESS DEVELOPMENT,C,2019,88914530,7093000,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0831,TRUST FOR GOVERNORS ISLAND,C,2019,25508018,8576000,6375000,4000000
20180201,ED,ECONOMIC DEVELOPMENT,ED 0831,TRUST FOR GOVERNORS ISLAND,F,2019,3039000,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED KN676,STATE UNIVERSITY OF NEW YORK - BIOBAT,C,2019,475,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED KN776,PRATT INSTITUTE,C,2019,175,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED M075,"ACQUISTION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, MANHATTAN",C,2019,0,300,0,0
20180201,EP,DEP EQUIPMENT,EP 0004,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF ENVIRONMENTAL PROTECTION,C,2019,0,6385556,3260000,4214000
20180201,EP,DEP EQUIPMENT,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,C,2019,0,29139312,47787000,20000000
20180201,EP,DEP EQUIPMENT,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,E,2019,1708,0,0,0
20180201,EP,DEP EQUIPMENT,EP 0006,ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP,C,2019,0,0,19800516,8300000
20180201,EP,DEP EQUIPMENT,EP 0006,ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP,E,2019,4591242,0,38550000,0
20180201,EP,DEP EQUIPMENT,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",C,2019,249000,0,0,0
20180201,EP,DEP EQUIPMENT,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",E,2019,10758620,19909000,23000000,12000000
20180201,F,FIRE,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",C,2019,7080416,10195000,727000,700000
20180201,F,FIRE,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",F,2019,10021954,0,0,0
20180201,F,FIRE,F  0109,"VEHICLE ACQUISITION, CITYWIDE",C,2019,62607337,55151000,81551000,44964000
20180201,F,FIRE,F  0175,"FACILITY IMPROVEMENTS, CITYWIDE",C,2019,22286736,62750000,25000000,25000000
20180201,F,FIRE,F  0204,NEW TRAINING CENTER FOR THE NEW YORK FIRE DEPARTMENT,C,2019,2195260,0,0,0
20180201,F,FIRE,F  0212,MANAGEMENT INFORMATION AND CONTROL SYSTEM (MICS),C,2019,24399883,13000000,13050000,13000000
20180201,FA,FERRIES & AVIATION,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",C,2019,14656763,107131000,10124000,2256000
20180201,FA,FERRIES & AVIATION,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",F,2019,0,28234472,0,4144000
20180201,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,C,2019,0,0,812801,0
20180201,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,F,2019,1077000,2880000,0,0
20180201,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,S,2019,0,360000,0,0
20180201,FA,FERRIES & AVIATION,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",C,2019,0,0,0,0
20180201,FA,FERRIES & AVIATION,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",S,2019,5777152,8136000,0,0
20180201,HA,HOUSING AUTHORITY,HA 0001,HOUSING AUTHORITY CITY CAPITAL SUBSIDIES,C,2019,243069484,199965000,126884000,137500000
20180201,HA,HOUSING AUTHORITY,HA M001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, MANHATTAN",C,2019,100000,0,0,0
20180201,HA,HOUSING AUTHORITY,HA Q001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, QUEENS",C,2019,74,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0061,LAND ACQUISITION FOR HIGHWAY BRIDGES,C,2019,740355,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0167,EAST 169TH STREET OVER METRO NORTH RAILROAD,C,2019,5000000,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0215,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",C,2019,0,109426509,220929000,360872000
20180201,HB,HIGHWAY BRIDGES,HB 0278,"BQE (278-I) FROM SANDS STREET TO ATLANTIC AVENUE, BROOKLYN",C,2019,0,738887000,404370000,404370000
20180201,HB,HIGHWAY BRIDGES,HB 0431,"REHABILITATION OF BRIDGE AT 49TH AVENUE, QUEENS",C,2019,0,60700999,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0530,"RECONST & STRUCT REHAB R.R. BDGE PARKSIDE & OCEAN AVE, BROOKLYN",C,2019,2461999,50550000,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0548,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",C,2019,5301000,0,38724000,56338000
20180201,HB,HIGHWAY BRIDGES,HB 0643,"RECONSTRUCTION OF BRIDGE, GERRITSEN INLET-BSHP BKLYN",C,2019,759576,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1010,"RECONSTRUCTION OF EAST 180TH STREET BRIDGE AT PARK AVENUE, THE BRONX",C,2019,20000000,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1012,"DESIGN COST FOR BRIDGE FACILITIES, CITYWIDE",C,2019,0,37621692,16774000,6250000
20180201,HB,HIGHWAY BRIDGES,HB 1013,"PURCHASE OF EQUIPMENT FOR BRIDGES, CITYWIDE",C,2019,1348789,355000,997000,1017000
20180201,HO,HEALTH & HOSPITALS CORP.,HO 0214,"HOSPITALS, IMPROVEMENTS",C,2019,163494481,272149000,81726000,35000000
20180201,HB,HIGHWAY BRIDGES,HB 1014,"BRIDGE FACILITY RECONSTRUCTION AND REHABILITATION, CITYWIDE",C,2019,3515391,399000,198000,414000
20180201,HB,HIGHWAY BRIDGES,HB 1023,"BRIDGE REHABILITATION, MILL BASIN BRIDGE,ETC., BROOKLYN",C,2019,6038560,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1028,"BRIDGE REHABILITATION, E. 14TH STREET, ETC., BROOKLYN",C,2019,0,0,16951000,0
20180201,HB,HIGHWAY BRIDGES,HB 1070,"BRIDGE PAINTING, CITYWIDE",C,2019,10495573,34480000,59008000,94812000
20180201,HB,HIGHWAY BRIDGES,HB 1078,"RECONSTRUCTION OF HARLEM RIVER DRIVE RAMP, BIN 2-26724-0, MANHATTAN",C,2019,0,0,0,379574000
20180201,HB,HIGHWAY BRIDGES,HB 1086,"WESTCHESTER AVE/HUTCHINSON RIVER PKWY BRIDGE, BIN 2-07583-7, THE BRONX",C,2019,6743953,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",C,2019,0,0,0,9292000
20180201,HB,HIGHWAY BRIDGES,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",F,2019,0,0,0,33141000
20180201,HB,HIGHWAY BRIDGES,HB 1103,"RECON OF CONC. VILLAGE AVE BR OVER METRO-NORTH BR., THE BRONX",C,2019,0,8323000,0,35776000
20180201,HB,HIGHWAY BRIDGES,HB 1114,"RECON OF TWO HEMPSTEAD AVE BRIDGES OVER CROSS ISLAND PKWY, QUEENS",C,2019,0,0,0,8495000
20180201,HB,HIGHWAY BRIDGES,HB 1115,"RECON OF UNION TURNPIKE BRIDGE OVER CROSS ISLAND PKWY, QUEENS",C,2019,0,0,0,2038999
20180201,HB,HIGHWAY BRIDGES,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",C,2019,34266627,23159000,0,0
20180201,HL,HEALTH,HL RN404,STATEN ISLAND UNIVERSITY HOSPITAL,C,2019,1052,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",F,2019,0,76576000,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1127,"RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY, THE BRONX",C,2019,0,39000,42806000,0
20180201,HB,HIGHWAY BRIDGES,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",C,2019,0,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",P,2019,1798510,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1137,"RECON ELLIOT AVE BRIDGE OVER QUEENS BLVD, QUEENS",C,2019,0,1475000,500000,21131000
20180201,HB,HIGHWAY BRIDGES,HB 1139,"RECON EAST 183RD ST BR/METRO-NORTH RR, HAR, THE BRONX",C,2019,0,0,20239000,0
20180201,HB,HIGHWAY BRIDGES,HB 1141,"RECON METROPOLITAN AVE BRIDGE OVER CONRAIL, QUEENS",C,2019,0,0,56463000,3274000
20180201,HB,HIGHWAY BRIDGES,HB 1147,"RECON BROADWAY BRIDGE OVER THE HARLEM RIVER, MANHATTAN",C,2019,0,3022300,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",C,2019,0,41564743,145659000,0
20180201,HB,HIGHWAY BRIDGES,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",F,2019,0,0,154341000,0
20180201,HB,HIGHWAY BRIDGES,HB 1164,"RECON CITY ISLAND ROAD OVER EASTCHESTER BAY, THE BRONX",C,2019,0,241209,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",C,2019,0,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",F,2019,8118000,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",S,2019,10000000,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1172,"RECON EAST 188TH ST BR OVER METRO NORTH RR, THE BRONX",C,2019,300000,0,27967000,0
20180201,HB,HIGHWAY BRIDGES,HB 1173,"RECON BR OVER CROSS ISLAND PARKWAY AT 115TH AVENUE, QUEENS",C,2019,0,0,22101000,0
20180201,HB,HIGHWAY BRIDGES,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",C,2019,19782630,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",F,2019,29369000,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1205,"RECONSTRUCT 5TH AVENUE BRIDGE OVER LIRR AND SEA BEACH, BROOKLYN",C,2019,0,34475088,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1213,"RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN",C,2019,0,0,44874000,0
20180201,HB,HIGHWAY BRIDGES,HB 1221,RECONSTRUCTION OF E. 25TH ST PEDESTRIAN BRIDGE OVER FDR,C,2019,0,1473000,0,7926000
20180201,HB,HIGHWAY BRIDGES,HB 2934,"RAMP TO NORTHBOUND HENRY HUDSON PARKWAY OVER AMTRAK, MANHATTAN",C,2019,500000,16089000,32697000,0
20180201,HB,HIGHWAY BRIDGES,HB 3038,"KANE STREET BRIDGE OVER 278-I (BQE), BROOKLYN",C,2019,0,0,15442000,0
20180201,HB,HIGHWAY BRIDGES,HB 4146,"WEST TREMONT AVENUE BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",C,2019,0,47836000,0,0
20180201,HB,HIGHWAY BRIDGES,HB 4174,"EAST 175TH STREET BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",C,2019,33440000,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 4310,"BEVERLY ROAD OVER THE BMT SUBWAY IN BRIGHTON, BROOKLYN",C,2019,0,0,41952000,0
20180201,HB,HIGHWAY BRIDGES,HB 4529,"WEST 155TH STREET PEDESTRIAN BRIDGE OVER AMTRAK, MANHATTAN",C,2019,0,13977000,0,0
20180201,HB,HIGHWAY BRIDGES,HB 4939,CEDARVIEW AVENUE PEDESTRIAN BRIDGE OVER SIRT SOUTH SHORE,C,2019,0,8823000,0,0
20180201,HB,HIGHWAY BRIDGES,HB 4982,"ARTHUR KILL ROAD BRIDGE OVER ARTHUR KILL STREAM, STATEN ISLAND",C,2019,0,0,9000000,0
20180201,HB,HIGHWAY BRIDGES,HB 6622,678-I SOUTHBOUND TO BELT CROSS ISLAND PARKWAY ACCESS ROAD FROM 678-I,C,2019,19102806,565000,0,0
20180201,HB,HIGHWAY BRIDGES,HB 6672,"EAST 174TH STREET BRIDGE OVER THE SHERIDAN EXPRESSWAY, THE BRONX",C,2019,0,0,126270000,0
20180201,HB,HIGHWAY BRIDGES,HB 7003,"EAST 156TH STREET BRIDGE OVER ACCESS TO HOUSING, THE BRONX",C,2019,0,0,0,57500000
20180201,HB,HIGHWAY BRIDGES,HB 7055,"167TH STREET PEDESTRIAN BRIDGE OVER LIRR, QUEENS",C,2019,0,0,10342000,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0001,AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM,C,2019,20712773,59366000,42503000,36172000
20180201,HL,HEALTH,HL QN305,NEW YORK AND PRESBYTERIAN HOSPITAL,C,2019,195,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0004,PRESERVATION OF VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,C,2019,109287000,111472000,113700000,115974000
20180201,HD,HOUSING & DEVELOPMENT,HD 0005,MULTIFAMILY PRESERVATION LOAN PROGRAM,C,2019,0,15306391,19919000,13747000
20180201,HD,HOUSING & DEVELOPMENT,HD 0009,ARTICLE 7A FOR ANTI-ABANDONMENT,C,2019,833426,5737000,6117000,5412000
20180201,HD,HOUSING & DEVELOPMENT,HD 0010,LOW INCOME HOUSING TAX CREDIT (LIHTC) PROJECTS,C,2019,48288236,113532000,112150000,104104000
20180201,HD,HOUSING & DEVELOPMENT,HD 0051,"SMALL HOMES DEVELOPMENT, SCATTER SITE",C,2019,7302450,15453000,14764000,14146000
20180201,HD,HOUSING & DEVELOPMENT,HD 0090,COMPUTER PURCHASES AND UPGRADE,C,2019,0,5805160,15645000,10146000
20180201,HD,HOUSING & DEVELOPMENT,HD 0094,RECONSTRUCTION OF H.P.D. OFFICE SPACE,C,2019,0,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0107,ARTICLE 8A LOAN PROGRAM,C,2019,0,24542604,44261000,40662000
20180201,HD,HOUSING & DEVELOPMENT,HD 0109,SUPPORTIVE HOUSING REHAB,C,2019,6688002,7051000,2051000,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0110,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",C,2019,71945829,104668000,121764000,118451000
20180201,HD,HOUSING & DEVELOPMENT,HD 0153,"EDGEMERE, ASSOC. COSTS, QUEENS",C,2019,858925,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0157,ASSOCIATED COSTS - OTHER SITES,C,2019,0,0,0,4608631
20180201,HD,HOUSING & DEVELOPMENT,HD 0161,"SPRING CREEK, ASSOC. COSTS, BROOKLYN",C,2019,0,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0200,"THIRD PARTY TRANSFER PROGRAMS, LL #37, CITYWIDE",C,2019,0,5345018,47132000,44677000
20180201,HD,HOUSING & DEVELOPMENT,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",C,2019,126857064,73489000,59224000,50774000
20180201,HD,HOUSING & DEVELOPMENT,HD 0207,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",C,2019,39151636,36788000,34743000,32019000
20180201,HD,HOUSING & DEVELOPMENT,HD 0212,LOW INCOME RENTAL PROGRAM,C,2019,14700197,195100000,183320000,163374000
20180201,HD,HOUSING & DEVELOPMENT,HD 0213,MIXED INCOME RENTAL - LOW,C,2019,0,0,66022729,86778000
20180201,HD,HOUSING & DEVELOPMENT,HD 0215,MULTIFAMILY HOMEOWNERSHIP PROGRAM,C,2019,0,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0217,NEIGHBORHOOD HOUSING SERVICES LOAN PROGRAM (NHS),C,2019,34000,666000,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0219,NEW CONSTRUCTION OF VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,C,2019,98357000,100324000,102331000,104378000
20180201,HD,HOUSING & DEVELOPMENT,HD 0222,SUPPORTIVE HOUSING,C,2019,57475679,143487000,141687000,117000000
20180201,HD,HOUSING & DEVELOPMENT,HD 0222,SUPPORTIVE HOUSING,F,2019,0,13711416,27000000,27000000
20180201,HD,HOUSING & DEVELOPMENT,HD 0223,"SMALL HOMES DEVELOPMENT, LARGE SITES",C,2019,422000,8128000,8554000,8786000
20180201,HD,HOUSING & DEVELOPMENT,HD K082,AUTO / OTHER PURCHASES,C,2019,772,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD MN965,GOUVERNEUR GARDENS HOUSING CORPORATION,C,2019,130000,0,0,0
20180201,HH,HOMELESS SERVICES,HH 0105,PURCHASE OF EQUIPMENT FOR USE BY THE DEPARTMENT OF HOMELESS SERVICES,C,2019,0,10141187,0,3178000
20180201,HH,HOMELESS SERVICES,HH 0112,CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS,C,2019,49227133,106390000,31234000,19424000
20180201,HH,HOMELESS SERVICES,HH 0115,CONGREGATE FACILITIES FOR HOMELESS FAMILIES,C,2019,6742473,41674000,46175000,39947000
20180201,HH,HOMELESS SERVICES,HH M112,"FACILITIES FOR THE HOMELESS, MANHATTAN",C,2019,0,0,1000,0
20180201,HL,HEALTH,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",C,2019,0,73996228,55667000,34328000
20180201,HL,HEALTH,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",S,2019,2180898,967000,1800000,1740000
20180201,HL,HEALTH,HL 0083,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",C,2019,0,9181594,9869000,2010000
20180201,HL,HEALTH,HL KN254,MAIMONIDES MEDICAL CENTER,C,2019,387,0,0,0
20180201,HL,HEALTH,HL KN328,PLANNED PARENTHOOD OF NEW YORK CITY,C,2019,128,0,0,0
20180201,HL,HEALTH,HL MN328,PLANNED PARENTHOOD OF NEW YORK CITY,C,2019,83,0,0,0
