Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180713,PO,POLICE,PO R185,"VEHICLES OF AT LEAST $35,000 AFTER NOVEMBER 1, 1999, STATEN ISLAND",C,2019,500000,0,0,0
20180713,PW,PUBLIC BUILDINGS,PW 0317,"LOCAL LAW 11 IMPROVEMENTS, CITYWIDE",C,2019,6003163,0,5837000,0
20180713,P ,PARKS,P  0412,"PROSPECT PARK, IMPROVEMENTS",S,2019,168,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 1137,"RECON ELLIOT AVE BRIDGE OVER QUEENS BLVD, QUEENS",C,2019,0,1475000,500000,21131000
20180713,P ,PARKS,P  0245R,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",C,2019,3050000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN285,NATIONAL BLACK THEATER,C,2019,3000000,0,0,0
20180713,P ,PARKS,P  0822,"STREET AND PARK TREE PLANTING, CITYWIDE",P,2019,236264,0,0,0
20180713,HL,HEALTH,HL DN01E,HELEN KELLER SERVICES,C,2019,500000,0,0,0
20180713,HO,HEALTH & HOSPITALS CORP.,HO Q378,ELMHURST HOSPITAL CENTER,C,2019,1000000,1000000,0,0
20180713,HL,HEALTH,HL QN916,THE FLOATING HOSPITAL,C,2019,52000,0,0,0
20180713,WP,WATER POLLUTION CONTROL,WP 0282,"ENG., ARCH., ADMIN. AND OTHER COSTS, DEPT. OF WATER RESOURCES",C,2019,1,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 0431,"REHABILITATION OF BRIDGE AT 49TH AVENUE, QUEENS",C,2019,0,0,60700999,0
20180713,PW,PUBLIC BUILDINGS,PW 0322,"345 ADAMS STREET, BROOKLYN",C,2019,10157808,0,0,0
20180713,LB,BROOKLYN PUBLIC LIBRARY,LB D107,"CONSTRUCTION, SITE ACQUISTION AND F&E FOR BCM/BROWER PARK LIBRARY",C,2019,300000,0,0,0
20180713,HR,HUMAN RESOURCES,HR QN482,"HANAC, INC.",C,2019,1000000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0034,"AMERICAN MUSEUM OF NATURAL HISTORY, IMPROVEMENTS AND ADDITION",C,2019,3000000,0,0,0
20180713,HW,HIGHWAYS,HW 1132,"RECONSTRUCTION OF MCLEAN AVENUE, STATEN ISLAND",C,2019,731009,860000,0,0
20180713,HL,HEALTH,HL DN254,MAIMONIDES MEDICAL CENTER,C,2019,1601000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN268,MORGAN LIBRARY & MUSEUM,C,2019,300000,0,0,0
20180713,HD,HOUSING & DEVELOPMENT,HD Q020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, QUEENS",C,2019,2000000,0,0,0
20180713,HO,HEALTH & HOSPITALS CORP.,HO 0410,"EMERGENCY MEDICAL SERVICES, EQUIPMENT",F,2019,0,43806,139000,0
20180713,P ,PARKS,P  0508,DPR OWNED BRIDGES CITYWIDE,S,2019,4000000,0,0,0
20180713,P ,PARKS,P  R245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",C,2019,246000,0,0,0
20180713,ED,ECONOMIC DEVELOPMENT,ED 0373,BROOKLYN ARMY TERMINAL,C,2019,29005121,37010000,32000000,10809000
20180713,HD,HOUSING & DEVELOPMENT,HD 0223,"SMALL HOMES DEVELOPMENT, LARGE SITES",C,2019,0,128000,8554000,8786000
20180713,P ,PARKS,P  1249,"CONSTRUCTION & RECONSTRUCTION OF ROOFING SYSTEMS, CITYWIDE",C,2019,7000,651923,1454000,1483000
20180713,HB,HIGHWAY BRIDGES,HB 0644,"RECONSTRUCTION OF BRIDGE, MADISON AVE. OVER HARLEM RIVER DRIVE",C,2019,2310509,340000,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV M241,MUSEUM OF CITY OF N. Y. IMPROVEMENTS,C,2019,40000,0,0,0
20180713,P ,PARKS,P  0632,"NEW SWIMMING POOL, STATEN ISLAND",C,2019,0,50000000,0,0
20180713,PW,PUBLIC BUILDINGS,PW KN876,NEW YORK UNIVERSITY,C,2019,981000,0,0,0
20180713,PW,PUBLIC BUILDINGS,PW D005,"PUBLIC BUILDINGS & OTHER CITY PURPOSES, CITYWIDE",C,2019,11550000,0,0,0
20180713,SE,SEWERS,SE 0002K,"CONSTRUCTION & RECONSTRUCTION OF SANITARY & COMBINED SEWERS, BROOKLYN",E,2019,35142463,20669000,8788000,22282000
20180713,E ,EDUCATION,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,C,2019,4000972787,2298519000,1533689000,2165569000
20180713,PV,CULTURAL INSTITUTIONS,PV DN412,THALIA SPANISH THEATER,C,2019,0,1000000,0,0
20180713,HW,HIGHWAYS,HW 0788,"RECONSTRUCTION OF 11TH STREET, QUEENS",C,2019,0,36674500,0,0
20180713,P ,PARKS,P  0415A,"HIGHBRIDGE PARK, MANHATTAN, RECONSTRUCTION",C,2019,22450000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV KN028,ISSUE PROJECT ROOM,C,2019,455000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV MN134,LA MAMA EXPERIMENTAL THEATRE CLUB,C,2019,100000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 4982,"ARTHUR KILL ROAD BRIDGE OVER ARTHUR KILL STREAM, STATEN ISLAND",C,2019,299000,0,0,9000000
20180713,PV,CULTURAL INSTITUTIONS,PV DN413,THEATER ET AL INC. D/B/A THE CHOCOLATE FACTORY,C,2019,257000,0,0,0
20180713,HR,HUMAN RESOURCES,HR 0025,IMPROVEMENTS OF STRUCTURES FOR USE BY DEPARTMENT OF SOCIAL SERVICES,C,2019,0,647530,0,2768000
